city,temperature
gred,18.5
Trinidad,22.5
Poddębice,22.9
Gaofeng,24.3
gluo,18.2

San Javier,17.3
Chantilly,7.7
Hangou,9.4
Niños Heroes,17.9
Piran,2.1
Ipoti,20.0
Erniusuokou,3.2

Kvasiny,19.8
Rushanzhai,20.9
Infanta,20.4
Rentian,14.4
Jindong,1.0
Palermo,21.4
La Paz,24.4
Xiang Ngeun,9.9
Bordeaux,19.5
Lopez Jaena,15.3
Laúndos,0.6
Khānaqāh,16.3
Sa’erhusong,20.4
Kermānshāh,14.5
Queimados,10.1
Čejkovice,0.4
Daguyun,11.6
Dazi,3.0
Fenglin,11.2
Towa,10.5
Aoqian,8.6
Gostivar,20.8
Caxarias,0.0
Turkestan,9.4
Malakwal City,3.4
Laixi,8.3
Ishikawa,1.9
Jianghai,13.4
Wuli,13.7
Cabittaogan,11.1
Bambuí,14.8
Dos Hermanas,6.2
Yeysk,17.7
Prusice,19.2
Tazouta,6.2
Rosaspata,15.1
Émponas,6.9
Orzech,25.6
Lāmerd,11.6
Benito Juarez,6.0
Sztum,10.4
Troitsk,10.8
Vitina,4.5
Taihe Chengguanzhen,23.1
Praimarada,19.6
Haunubenak,16.4
Gitega,21.3
Mingcheng,6.5
Winneba,22.5
Shayu,19.9
Shchukino,15.3
Saýat,23.3
Sinisian,22.9
Couço,15.7
Virbalis,23.7
Pan de Azúcar,26.3
Tiguion,23.1
Borås,23.5
Wangmeng,9.9
Wādī as Sīr,26.4
Ōno-hara,7.8
Rantaupanjangkiri,0.0
São Bartolomeu,24.3
San Vicente,12.9
Luzern,7.9
Cesvaine,19.2
Makarska,19.8
Altos,6.2
Cidade Velha,17.3
Baojia,25.9
Youxi Chengguanzhen,16.1
Tarlac City,20.1
Laocheng,12.5
Coquitlam,26.0
Chixi,15.2
Wutongkou,25.0
Zamora,3.2
Krzynowłoga Mała,4.0
Macau,8.1
Örebro,2.7
San Juan Bautista,2.9
Guanshan,4.4
Clonskeagh,22.0
Jaboticabal,22.5
Buenavista,17.4
Saumur,21.2
Dadaha,22.4
Sidomulyo,10.0
Quezon,7.8
Cafarnaum,1.5
Moppo,1.1
Hongshan,22.9
Calapan,4.1
Qijiazuo,12.2
Cañaveral,12.5
Qingshui,23.1
Driefontein,0.8
Longtan,25.7
Shimanovsk,15.6
Amarillo,3.2
Xhafzotaj,1.3
Lohayong,0.9
Puhja,19.3
Lutou,13.8
Tlogosadang,15.0
Solok Timur,19.5
Kafr Sawm,6.1
Longguang,9.4
Jagistay,15.7
Olho Marinho,3.1
New York City,1.2
São Mamede,11.1
Rosmalen,23.8
Kameyama,5.8
Vila Maior,22.2
Tangkilsari,14.4
Songgui,24.1
Jovellar,0.1
Shakīso,1.8
Passagem,13.3
Jianshe,25.0
Ndibène Dahra,23.8
Tubo,25.1
Lucija,15.8
Beitan,22.7
Granada,18.8
Hamburg,12.6
Nioumamilima,0.2
Topdac,5.2
Velyka Bahachka,12.7
Mirskoy,16.8
Santa Marta de Penaguião,10.1
Mesiméri,18.9
Nara-shi,23.7
Fuyong,15.6
Pedro Leopoldo,22.4
København,6.0
Alajuelita,20.9
Ingersoll,4.3
Ózd,17.0
Kapenguria,26.4
Wolowiro,19.6
Melgar,8.3
Detupia,8.3
Ventanas,24.6
Ljubno ob Savinji,8.5
Arroyito,25.4
Dayan,24.8
Embalse,22.6
Ulimonong,16.4
Chahe,20.0
Xintang,18.5
Kuzhu,6.3
Filabusi,3.1
Luz de Tavira,21.3
Ceranów,1.1
Liulin,13.9
Tánh Linh,10.7
Sumberwaru,10.3
Huixian Chengguanzhen,2.9
Lasi Dua,19.1
Tankhoy,11.0
Guamal,11.7
Makoba,9.1
Daixi,4.3
Lagoa Vermelha,17.4
Tiandu,12.7
Chã,7.5
Pervoural’sk,2.0
Mengxi,15.9
Dragash,0.8
Smiltene,22.6
Ngeni,17.6
Sydney,6.6
Bungur,17.0
Calilegua,7.2
Kamifukuoka,9.8
Bokhan,1.2
Yuguan,13.5
Jesenice,20.5
Heyan,23.0
Žamberk,16.5
Brandsen,0.0
Wupu,18.9
Nong Bun Nak,24.9
Laraos,25.7
Mielec,4.4
Maubara,19.5
Dayang,5.9
Louisville,17.4
Oskarshamn,23.5
Yong’an,19.9
Truskolasy,12.2
Petrovsk,20.8
Dahedian,15.6
Smoky Lake,17.7
Jaguaribe,2.7
Finiq,14.6
Ciomas,15.1
Luopu,14.1
Tancheng,14.5
Tambo,9.9
Buur Gaabo,19.8
Xiehu,9.0
Ignalina,22.0
Puerto Esperanza,22.9
Calumpang,7.5
Xamtay,24.4
Sātkania,11.5
Żarnów,11.5
Bogotá,24.3
Tanabi,18.3
Aygavan,24.9
Mungkin,20.1
Chanuman,12.9
Malhou,2.8
Buga,5.7
At-Bashi,2.8
Łobodno,10.7
Hongshanyao,9.1
Pirajuí,5.7
Molagavita,7.3
Qingban,5.4
Příbor,0.7
Gustavsberg,5.4
Kėdainiai,5.4
Cidadap,15.4
Ostrožská Nová Ves,12.5
Kasonawejo,9.6
Shuangyuan,13.6
Awat,4.5
Mahaica Village,18.7
Ozatlán,9.3
Lantang,12.2
Banes,17.5
Kalininaul,3.3
Yungay,13.4
Bragança Paulista,19.7
Jianggezhuang,18.4
Cisoka,21.2
Cibalieur,7.2
Armenta,11.6
Shitan,21.4
Al ‘Āliyah,8.4
Vratsa,22.5
Ina,9.8
Spånga,9.8
Pryvol’ny,-0.4
Bentengjawa,4.2
Paris 12,20.3
San Ricardo,23.9
Tríkeri,25.6
Xinchong,4.7
Chattanooga,8.6
Shunhe,9.3
Ronggo,5.4
